Sutitucion Estado;Sustitucion Municipio;Sustitucion a Parroquia;Sector
Miranda;Guaicaipuro;Los Teques;Barrio Venezuela
Miranda;Guaicaipuro;Los Teques;Brisas De Palo Alto
Miranda;Guaicaipuro;Los Teques;Buenos Aires
Miranda;Guaicaipuro;Los Teques;C.C Ali Primera
Miranda;Guaicaipuro;Los Teques;Cabotaje
Miranda;Guaicaipuro;Los Teques;Carretera Vieja Caracas Los Teques
Miranda;Guaicaipuro;Los Teques;Centro los teques
Miranda;Guaicaipuro;Los Teques;Club Hipico
Miranda;Guaicaipuro;Los Teques;Colinas del Angel
Miranda;Guaicaipuro;Los Teques;Cooperativa Guaicaipuro
Miranda;Guaicaipuro;Los Teques;Cumbre Rojas
Miranda;Guaicaipuro;Los Teques;El Ayacucho
Miranda;Guaicaipuro;Los Teques;El Barbecho
Miranda;Guaicaipuro;Los Teques;El Bosque
Miranda;Guaicaipuro;Los Teques;El Cabotaje
Miranda;Guaicaipuro;Los Teques;El Encanto
Miranda;Guaicaipuro;Los Teques;El Nacional
Miranda;Guaicaipuro;Los Teques;El Panadero
Miranda;Guaicaipuro;Los Teques;El paso
Miranda;Guaicaipuro;Los Teques;El Pueblo
Miranda;Guaicaipuro;Los Teques;El Puinky
Miranda;Guaicaipuro;Los Teques;El Reten
Miranda;Guaicaipuro;Los Teques;El Ricon
Miranda;Guaicaipuro;Los Teques;El Rincon
Miranda;Guaicaipuro;Los Teques;El Tambor
Miranda;Guaicaipuro;Los Teques;El trabuco
Miranda;Guaicaipuro;Los Teques;El trigo
Miranda;Guaicaipuro;Los Teques;El Vigia
Miranda;Guaicaipuro;Los Teques;Guaremal
Miranda;Guaicaipuro;Los Teques;Hospital Victorino Santaella
Miranda;Guaicaipuro;Los Teques;Jose Gregorio
Miranda;Guaicaipuro;Los Teques;La Estrella
Miranda;Guaicaipuro;Los Teques;La Fontanera
Miranda;Guaicaipuro;Los Teques;La matica
Miranda;Guaicaipuro;Los Teques;La Quinta
Miranda;Guaicaipuro;Los Teques;Lagunetica
Miranda;Guaicaipuro;Los Teques;Las Cadenas
Miranda;Guaicaipuro;Los Teques;Las Lomitas
Miranda;Guaicaipuro;Los Teques;Los Alpes
Miranda;Guaicaipuro;Los Teques;Los Amarillos
Miranda;Guaicaipuro;Los Teques;los Barriales
Miranda;Guaicaipuro;Los Teques;Los Cerritos
Miranda;Guaicaipuro;Los Teques;Los Lagos
Miranda;Guaicaipuro;Los Teques;Los Mangos
Miranda;Guaicaipuro;Los Teques;Los Panamericanos
Miranda;Guaicaipuro;Los Teques;Macarena Sur
Miranda;Guaicaipuro;Los Teques;Mal Paso
Miranda;Guaicaipuro;Los Teques;Manuela Saenz
Miranda;Guaicaipuro;Los Teques;Palo alto
Miranda;Guaicaipuro;Los Teques;Punta Brava
Miranda;Guaicaipuro;Los Teques;Quebrada La virgen
Miranda;Guaicaipuro;Los Teques;Ramo Verde
Miranda;Guaicaipuro;Los Teques;Res. Aldebaran
Miranda;Guaicaipuro;Los Teques;Res. Caracas
Miranda;Guaicaipuro;Los Teques;Res. Cima
Miranda;Guaicaipuro;Los Teques;Res. El Chorrito
Miranda;Guaicaipuro;Los Teques;Res. Imola
Miranda;Guaicaipuro;Los Teques;Res. Knoop
Miranda;Guaicaipuro;Los Teques;Res. La Cima
Miranda;Guaicaipuro;Los Teques;Res. Lagunetica
Miranda;Guaicaipuro;Los Teques;Res. Miracielos
Miranda;Guaicaipuro;Los Teques;Res. Miraflores
Miranda;Guaicaipuro;Los Teques;Res. Rio Arriba
Miranda;Guaicaipuro;Los Teques;Res. Santa Maria
Miranda;Guaicaipuro;Los Teques;Res. Tamari
Miranda;Guaicaipuro;Los Teques;Res. Tinantonia
Miranda;Guaicaipuro;Los Teques;Res. Tiuna
Miranda;Guaicaipuro;Los Teques;Res. Trigo Dorado
Miranda;Guaicaipuro;Los Teques;Res. Yati
Miranda;Guaicaipuro;Los Teques;Retamal
Miranda;Guaicaipuro;Los Teques;Romulo Gallegos
Miranda;Guaicaipuro;Los Teques;Sant Omero
Miranda;Guaicaipuro;Los Teques;Santa eduviges
Miranda;Guaicaipuro;Los Teques;Santa Eulalia
Miranda;Guaicaipuro;Los Teques;Santa rosa
Miranda;Guaicaipuro;Los Teques;Solar de la Quinta
Miranda;Guaicaipuro;Los Teques;Urb. Simon Bolivar
Miranda;Guaicaipuro;Los Teques;Valle Alto
Miranda;Guaicaipuro;Los Teques;Zona Industrial El Tambor
Miranda;Guaicaipuro;San Pedro de los Altos;Bosque de Pinos
Miranda;Guaicaipuro;San Pedro de los Altos;El Pueblo
Miranda;Guaicaipuro;San Pedro de los Altos;Pozo de Rosas
Miranda;Los salias;San antonio de los altos;Agua Linda
Miranda;Los salias;San antonio de los altos;Arboleda
Miranda;Los salias;San antonio de los altos;C.C Galeria Las Americas
Miranda;Los salias;San antonio de los altos;C.C La Colina
Miranda;Los salias;San antonio de los altos;C.C. Cepan
Miranda;Los salias;San antonio de los altos;C.C. Club de Campo
Miranda;Los salias;San antonio de los altos;C.C. Don Blas
Miranda;Los salias;San antonio de los altos;C.C. La Casona 2
Miranda;Los salias;San antonio de los altos;Casco Central
Miranda;Los salias;San antonio de los altos;El Amarillo
Miranda;Los salias;San antonio de los altos;El Paramo
Miranda;Los salias;San antonio de los altos;El Pueblo
Miranda;Los salias;San antonio de los altos;El Retiro
Miranda;Los salias;San antonio de los altos;El sitio
Miranda;Los salias;San antonio de los altos;La Gonzalera
Miranda;Los salias;San antonio de los altos;La Guadalupe
Miranda;Los salias;San antonio de los altos;La Morita
Miranda;Los salias;San antonio de los altos;La Oveja Negra
Miranda;Los salias;San antonio de los altos;La Rosaleda
Miranda;Los salias;San antonio de los altos;Las Cumbres
Miranda;Los salias;San antonio de los altos;Las minas
Miranda;Los salias;San antonio de los altos;Las Polonias
Miranda;Los salias;San antonio de los altos;Los Castores
Miranda;Los salias;San antonio de los altos;Los Helechos
Miranda;Los salias;San antonio de los altos;Los Llaneros
Miranda;Los salias;San antonio de los altos;Res. Las Churuatas
Miranda;Los salias;San antonio de los altos;Res. Ops
Miranda;Los salias;San antonio de los altos;Res. San antonio
Miranda;Los salias;San antonio de los altos;Sierra Brava
Miranda;Los salias;San antonio de los altos;Zona Industrial Las Minas
